ISIN,Coupon,Issue Date,Maturity Date,Coupon Start Date
CA135087L930,0.01000,4/16/2021,9/1/2026,9/1/2021
CA135087J546,0.02250,10/5/2018,3/1/2024,3/1/2019
CA135087N340,0.01500,1/24/2022,4/1/2025,4/1/2022
CA135087L518,0.00250,10/9/2020,3/1/2026,3/1/2021
CA135087D507,0.02250,6/30/2014,6/1/2025,12/1/2014
CA135087M920,0.00750,10/22/2021,2/1/2024,2/1/2022
CA135087E679,0.01500,7/21/2015,6/1/2026,12/1/2015
CA135087N910,0.02750,5/24/2022,8/1/2024,8/1/2022
CA135087N423,0.01500,2/22/2022,5/1/2024,5/1/2022
CA135087L690,0.00250,10/16/2020,4/1/2024,4/1/2021
CA135087Q640,0.03500,5/12/2023,8/1/2025,8/1/2023
CA135087N423,0.01500,2/22/2022,5/1/2024,5/1/2022
CA135087B451,0.02500,7/2/2013,6/1/2024,12/1/2013
CA135087J967,0.01500,4/5/2019,9/1/2024,9/1/2019
CA135087K528,0.01250,10/11/2019,3/1/2025,3/1/2020
CA135087M508,0.00750,7/12/2021,10/1/2024,10/1/2021
CA135087K940,0.00500,4/3/2020,9/1/2025,9/1/2020
CA135087R226,0.04500,11/1/2023,2/1/2026,2/1/2024
CA135087P659,0.03750,11/2/2022,2/1/2025,2/1/2023
CA135087P402,0.03000,8/15/2022,11/1/2024,11/1/2022
CA135087Q319,0.03750,2/10/2023,5/1/2025,5/1/2023
CA135087P246,0.03000,7/25/2022,10/1/2025,10/1/2022
CA135087VH40,0.09000,8/2/1994,6/1/2025,12/1/1994
CA135087M847,0.01250,10/15/2021,3/1/2027,3/1/2022
CA135087WL43,0.05750,2/2/1998,6/1/2029,6/1/1998
CA135087N597,0.02000,3/16/2022,6/1/2032,6/1/2022
CA135087Q723,0.03250,6/26/2023,12/1/2033,12/1/2023
CA135087L443,0.00500,10/5/2020,12/1/2030,12/1/2020
CA135087XG49,0.05750,10/15/2001,6/1/2033,12/1/2001
CA135087J397,0.02250,7/27/2018,6/1/2029,12/1/2018
CA135087F825,0.01000,8/3/2016,6/1/2027,12/1/2016
CA135087P733,0.03245,12/2/2022,8/24/2027,2/24/2023
CA135087N266,0.01500,10/25/2021,12/1/2031,12/1/2021
CA135087Q491,0.03250,4/21/2023,9/1/2028,9/1/2023
CA135087N670,0.02250,3/29/2022,12/1/2029,6/1/2022
CA135087P329,0.02500,8/8/2022,12/1/2032,12/1/2022
CA135087P576,0.03500,10/21/2022,3/1/2028,3/1/2023
CA135087Q988,0.04000,10/13/2023,3/1/2029,3/1/2024
CA135087VW17,0.08000,5/1/1996,6/1/2027,6/1/1996
CA135087M276,0.01500,4/26/2021,6/1/2031,6/1/2021
CA135087N837,0.02750,5/13/2022,9/1/2027,9/1/2022
CA135087H235,0.02000,8/1/2017,6/1/2028,12/1/2017
